dateissue,Value
14010512,1437360.8
14010515,1448922.6
14010518,1451941.9
14010519,1448464.5
14010522,1467100.6
14010523,1463653.5
14010524,1463697.6
14010525,1459500.6
14010526,1451404.1
14010529,1438819.2
14010530,1429906.8
14010531,1424490.9
14010601,1431477.2
14010602,1442372.9
14010605,1450045.2
14010606,1444086.8
14010607,1445139
14010608,1441217.1
14010609,1439396.4
14010612,1426941.2
14010613,1426908.2
14010614,1426779.6
14010615,1420834.1
14010616,1412856.5
14010619,1397434.5
14010620,1390732.4
14010621,1388970.4
14010622,1393126.7
14010623,1389099
14010627,1377917.5
14010628,1373821.4
14010629,1367060.4
14010630,1355240.9
14010702,1328185.9
14010704,1334448.1
14010706,1346563.5
14010709,1330879.1
14010710,1322025.8
14010711,1318714.2
14010712,1313853.1
14010716,1316721.1
14010717,1305083
14010718,1303920.4
14010719,1313583.9
14010720,1319789.7
14010723,1317894.2
14010724,1311288.6
14010725,1311109.9
14010726,1312563.2
14010727,1310165.9
14010730,1308960
14010801,1296797.8
14010802,1277736.9
14010803,1267060.7
14010804,1241067.1
14010807,1244627.3
14010808,1254464.8
14010809,1269833.4
14010810,1280456.2
14010811,1283540.8
14010814,1328324.1
14010815,1344675.9
14010816,1389752.6
14010817,1407734.1
14010818,1414356.2
14010821,1426096
14010822,1419140.2
14010823,1408174.3
14010824,1410423.9
14010825,1413573.7
14010828,1393086.2
14010829,1404627.2
14010830,1408597.9
14010901,1407654.1
14010902,1410188.2
14010905,1408210.9
14010906,1406202
14010907,1408348.5
14010908,1414204.6
14010909,1417371.8
14010912,1417719.8
14010913,1417839.4
14010914,1413604.7
14010915,1409404.4
14010916,1402830.4
14010919,1383737.5
14010920,1389362.2
14010921,1409355.1
14010922,1454468.2
14010923,1472760.5
14010926,1469933.2
14010927,1500241.8
14010928,1500908.6
14010929,1492095.1
14010930,1496200.8
14011003,1538003.2
14011004,1563567.4
14011005,1576396.8
14011007,1647314.5
14011010,1590495.5
14011011,1564365.7
14011012,1593285
14011013,1591353.9
14011014,1579119.3
14011017,1598061.4
14011018,1635229.2
14011019,1646905.8
14011020,1668186.9
14011021,1652087
14011024,1643714
14011025,1643714
14011026,1680675.2
14011027,1687047.7
14011028,1689144.1
14011101,1657576.7
14011102,1652924.5
14011103,1653948.6
14011104,1646053.5
14011105,1611955.9
14011108,1600083.7
14011109,1542190.7
14011110,1539679.6
14011111,1556551.9
14011112,1557244
14011116,1540189.2
14011117,1537859.1
14011118,1556525.8
14011119,1558081.6
14011123,1545978.3
14011124,1548278.2
14011125,1537961.7
14011126,1524795
14011130,1533366.5
14011201,1594262.9
14011202,1659416.5
14011203,1656593.4
14011206,1738782.3
14011207,1804300.2
14011208,1809073.8
14011209,1838119.4
14011210,1821771.1
14011213,1788214.7
14011214,1795955.2
14011215,1785669.8
14011216,1817611.5
14011220,1816738.8
14011221,1783197
14011222,1781632.1
14011223,1782987.7
14011224,1820987.6
14011227,1905745
14011228,1960457.4
14020105,1998281.4
14020106,2018760.3
14020107,2029198.2
14020108,2044408.5
14020109,2078712.3
14020114,2089951.3
14020115,2119105.9
14020116,2137464.9
14020119,2202385.5
14020120,2212643
14020121,2190307.2
14020122,2179922.1
14020126,2253946.4
14020127,2275066.7
14020128,2289287.4
14020129,2325437.4
14020130,2324132.7
14020204,2326494.3
14020205,2368712.3
14020206,2365287
14020209,2438553
14020210,2479339.7
14020211,2480639.9
14020212,2518331.8
14020213,2514673.4
14020216,2535236.5
14020217,2440167.5
14020218,2314408.4
14020219,2305838.4
14020220,2277713.1
14020223,2214024.3
14020224,2285904
14020225,2301380.1
14020227,2321336.1
14020230,2297985.8
14020231,2302705.5
14020301,2318506.5
14020302,2330799.1
14020303,2345967.5
14020306,2311221.8
14020307,2257012.8
14020308,2275394.7
14020309,2288427.1
14020310,2271042.4
14020313,2279681.8
14020316,2289549
14020317,2288439
14020320,2215058.3
14020321,2208212.5
14020322,2145415.7
14020323,2155197.7
14020324,2182106.9
14020327,2182812.2
14020328,2162916.9
14020329,2164226.3
14020330,2166947.4
14020331,2173893.4
14020403,2162616.3
14020404,2189601.7
14020405,2196127.8
14020406,2168205.3
14020407,2153410.6
14020410,2143914.9
14020411,2157377.1
14020412,2183405.5
14020413,2202092.5
14020414,2202657
14020417,2195133
14020418,2176359
14020419,2158533.9
14020420,2128378.4
14020421,2071404.3
14020424,2070890.3
14020425,2021297.6
14020426,1956634
14020427,1999719.9
14020428,2016385.6
14020431,1983133.6
14020501,1976944.9
14020502,1998459.3
14020503,2001897.1
14020504,2000525.2
14020507,1996755.9
14020508,1967667.5
14020509,1973910.2
14020510,1993659.2
14020514,2033048.1
14020515,2040011.7
14020516,2051072.7
14020517,2037869.3
14020518,2036985.5
14020521,1989639.8
14020522,1987917.9
14020523,1997030.3
14020524,1978182.8
14020525,1973597.3
14020528,1957509.9
14020529,1954029.7
14020530,1956441.4
14020531,1938253.4
14020601,1946593.9
14020604,1993097.2
14020605,2051471.9
14020606,2084168.4
14020607,2095048.9
14020608,2104683.8
14020611,2105644.4
14020612,2111648.6
14020613,2136144.2
14020614,2150975.3
14020618,2129608.6
14020619,2123629
14020620,2122617.1
14020621,2127079.5
14020622,2126741.7
14020626,2135780.4
14020627,2133490.5
14020628,2128489.3
14020629,2121213
14020701,2118346.6
14020703,2101035.3
14020704,2097727
14020705,2097976.9
14020708,2084534.8
14020709,2067164.4
14020710,2067537.6
14020712,2069749.2
14020715,2052879.3
14020716,2001266.7
14020717,2005595.1
14020718,2014066.9
14020719,2019712.8
14020722,2001464.2
14020723,2001942.6
14020724,2018150.4
14020725,2031245.3
14020726,2023543.8
14020729,2024972.8
14020730,2032212.1
14020801,2021903.6
14020802,2000340.4
14020803,2002075.1
